[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/animate/animate.min.css?v=1783415778" [Client 192.168.65.1] [Length 71727] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/style/themes/default-dark.css?v=1783415778" [Client 192.168.65.1] [Length 14397] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/nprogress/nprogress.min.css?v=1783415778" [Client 192.168.65.1] [Length 1090] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/img/logo.svg" [Client 192.168.65.1] [Length 1026] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-700.woff2" [Client 192.168.65.1] [Length 15764] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-300.woff2" [Client 192.168.65.1] [Length 16064] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-regular.woff2" [Client 192.168.65.1] [Length 16112] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/img/boxed-bg.png" [Client 192.168.65.1] [Length 11633] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/font-awesome/webfonts/fa-solid-900.woff2" [Client 192.168.65.1] [Length 158220] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/font-awesome/webfonts/fa-brands-400.woff2" [Client 192.168.65.1] [Length 118684] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
